"","grid","trip","month","year","total","cum.seed","seedm2","valley"
"44","egl MR1",12,"May",2002,1,5.09294626941686,5.09294626941686,"egl"
"45","egl MR1",13,"Nov",2002,0,5.09294626941686,0,"egl"
"46","egl MR1",14,"Feb",2003,0,0,0,"egl"
"47","egl MR1",15,"May",2003,4,20.3717850776674,20.3717850776674,"egl"
"48","egl MR1",16,"Aug",2003,1,25.4647313470843,5.09294626941686,"egl"
"49","egl MR1",17,"Nov",2003,0,25.4647313470843,0,"egl"
"50","egl MR1",18,"Feb",2004,0,0,0,"egl"
"51","egl MR1",19,"May",2004,0,0,0,"egl"
"52","egl MR1",20,"Aug",2004,0,0,0,"egl"
"53","egl MR2",1,"May",1999,370,1884.39011968424,1884.39011968424,"egl"
"54","egl MR2",2,"Aug",1999,112,2454.80010185893,570.409982174688,"egl"
"55","egl MR2",3,"Nov",1999,3,2470.07894066718,15.2788388082506,"egl"
"56","egl MR2",4,"Feb",2000,1,5.09294626941686,5.09294626941686,"egl"
"57","egl MR2",5,"May",2000,94,483.829895594602,478.736949325185,"egl"
"58","egl MR2",6,"Aug",2000,37,672.268907563025,188.439011968424,"egl"
"59","egl MR2",7,"Nov",2000,15,748.663101604278,76.3941940412529,"egl"
"60","egl MR2",8,"Feb",2001,1,5.09294626941686,5.09294626941686,"egl"
"61","egl MR2",9,"May",2001,0,5.09294626941686,0,"egl"
"62","egl MR2",10,"Aug",2001,0,5.09294626941686,0,"egl"
"63","egl MR2",11,"Nov",2001,0,5.09294626941686,0,"egl"
"64","egl MR2",12,"May",2002,0,0,0,"egl"
"65","egl MR2",13,"Nov",2002,0,0,0,"egl"
"66","egl MR2",14,"Feb",2003,0,0,0,"egl"
"67","egl MR2",15,"May",2003,144,733.384262796028,733.384262796028,"egl"
"68","egl MR2",16,"Aug",2003,120,1344.53781512605,611.153552330023,"egl"
"69","egl MR2",17,"Nov",2003,9,1390.3743315508,45.8365164247517,"egl"
"70","egl MR2",18,"Feb",2004,0,0,0,"egl"
"71","egl MR2",19,"May",2004,0,0,0,"egl"
"72","egl MR2",20,"Aug",2004,8,40.7435701553349,40.7435701553349,"egl"
"73","hol M1",1,"May",1999,0,0,0,"hol"
"74","hol M1",2,"Aug",1999,0,0,0,"hol"
"75","hol M1",3,"Nov",1999,0,0,0,"hol"
"76","hol M1",4,"Feb",2000,0,0,0,"hol"
"77","hol M1",5,"May",2000,13,66.2083015024191,66.2083015024191,"hol"
"78","hol M1",6,"Aug",2000,3,81.4871403106697,15.2788388082506,"hol"
"79","hol M1",7,"Nov",2000,1,86.5800865800866,5.09294626941686,"hol"
"80","hol M1",8,"Feb",2001,0,0,0,"hol"
"81","hol M1",9,"May",2001,0,0,0,"hol"
"82","hol M1",10,"Aug",2001,0,0,0,"hol"
"83","hol M1",11,"Nov",2001,0,0,0,"hol"
"84","hol M1",12,"May",2002,0,0,0,"hol"
"85","hol M2",1,"May",1999,5,25.4647313470843,25.4647313470843,"hol"
"86","hol M2",2,"Aug",1999,1,30.5576776165011,5.09294626941686,"hol"
"87","hol M2",3,"Nov",1999,0,30.5576776165011,0,"hol"
"88","hol M2",4,"Feb",2000,16,81.4871403106697,81.4871403106697,"hol"
"89","hol M2",5,"May",2000,85,514.387573211103,432.900432900433,"hol"
"90","hol M2",6,"Aug",2000,57,804.685510567864,290.297937356761,"hol"
"91","hol M2",7,"Nov",2000,2,814.871403106697,10.1858925388337,"hol"
"92","hol M2",8,"Feb",2001,0,0,0,"hol"
"93","hol M2",9,"May",2001,0,0,0,"hol"
"94","hol M2",10,"Aug",2001,0,0,0,"hol"
"95","hol M2",11,"Nov",2001,1,5.09294626941686,5.09294626941686,"hol"
"96","hol M2",12,"May",2002,0,0,0,"hol"
"97","hol M2",13,"Nov",2002,0,0,0,"hol"
"98","hol M2",14,"Feb",2003,0,0,0,"hol"
"99","hol M2",15,"May",2003,79,402.342755283932,402.342755283932,"hol"
"100","hol M2",16,"Aug",2003,14,473.644003055768,71.301247771836,"hol"
"101","hol M2",17,"Nov",2003,0,473.644003055768,0,"hol"
"102","hol M2",18,"Feb",2004,0,0,0,"hol"
"103","hol M2",19,"May",2004,0,0,0,"hol"
"104","hol M2",20,"Aug",2004,5,25.4647313470843,25.4647313470843,"hol"
"105","hol MR1",1,"May",1999,16,81.4871403106697,81.4871403106697,"hol"
"106","hol MR1",2,"Aug",1999,5,106.951871657754,25.4647313470843,"hol"
"107","hol MR1",3,"Nov",1999,0,106.951871657754,0,"hol"
"108","hol MR1",4,"Feb",2000,12,61.1153552330023,61.1153552330023,"hol"
"109","hol MR1",5,"May",2000,74,437.99337916985,376.878023936847,"hol"
"110","hol MR1",6,"Aug",2000,11,494.015788133435,56.0224089635854,"hol"
"111","hol MR1",7,"Nov",2000,8,534.75935828877,40.7435701553349,"hol"
"112","hol MR1",8,"Feb",2001,0,0,0,"hol"
"113","hol MR1",9,"May",2001,0,0,0,"hol"
"114","hol MR1",10,"Aug",2001,0,0,0,"hol"
"115","hol MR1",11,"Nov",2001,0,0,0,"hol"
"116","hol MR1",12,"May",2002,4,20.3717850776674,20.3717850776674,"hol"
"117","hol MR1",13,"Nov",2002,0,20.3717850776674,0,"hol"
"118","hol MR1",14,"Feb",2003,21,106.951871657754,106.951871657754,"hol"
"119","hol MR1",15,"May",2003,334,1807.99592564298,1701.04405398523,"hol"
"120","hol MR1",16,"Aug",2003,111,2373.31296154826,565.317035905271,"hol"
"121","hol MR1",17,"Nov",2003,6,2403.87063916476,30.5576776165011,"hol"
"122","hol MR1",18,"Feb",2004,0,0,0,"hol"
"123","hol MR1",19,"May",2004,2,10.1858925388337,10.1858925388337,"hol"
"124","hol MR1",20,"Aug",2004,0,10.1858925388337,0,"hol"
"125","hol MR2",1,"May",1999,2,10.1858925388337,10.1858925388337,"hol"
"126","hol MR2",2,"Aug",1999,0,10.1858925388337,0,"hol"
"127","hol MR2",3,"Nov",1999,0,10.1858925388337,0,"hol"
"128","hol MR2",4,"Feb",2000,18,91.6730328495034,91.6730328495034,"hol"
"129","hol MR2",5,"May",2000,245,1339.44486885663,1247.77183600713,"hol"
"130","hol MR2",6,"Aug",2000,42,1553.34861217214,213.903743315508,"hol"
"131","hol MR2",7,"Nov",2000,5,1578.81334351923,25.4647313470843,"hol"
"132","hol MR2",8,"Feb",2001,0,0,0,"hol"
"133","hol MR2",9,"May",2001,0,0,0,"hol"
"134","hol MR2",10,"Aug",2001,1,5.09294626941686,5.09294626941686,"hol"
"135","hol MR2",11,"Nov",2001,4,25.4647313470843,20.3717850776674,"hol"
"136","hol MR2",12,"May",2002,21,106.951871657754,106.951871657754,"hol"
"137","hol MR2",13,"Nov",2002,0,106.951871657754,0,"hol"
"138","hol MR2",14,"Feb",2003,0,0,0,"hol"
"139","hol MR2",15,"May",2003,143,728.291316526611,728.291316526611,"hol"
"140","hol MR2",16,"Aug",2003,24,850.522026992615,122.230710466005,"hol"
"141","hol MR2",17,"Nov",2003,2,860.707919531449,10.1858925388337,"hol"
"142","hol MR2",18,"Feb",2004,0,0,0,"hol"
"143","hol MR2",19,"May",2004,0,0,0,"hol"
"144","hol MR2",20,"Aug",2004,0,0,0,"hol"
