valley,grid.id,year,month,trip.no,red,silver,mountain
H,M2,2002,May,12,0,0,0
H,M2,2002,Nov,13,0,0,0
H,M2,2003,Feb,14,0,0,0
H,M2,2003,May,15,0,73,6
H,M2,2003,Aug,16,0,14,0
H,M2,2003,Nov,17,0,0,0
H,M2,2004,Feb,18,0,0,0
H,M2,2004,May,19,0,0,0
H,M2,2004,Aug,20,0,0,5
E,MR1,1999,Feb,0,57,1,0
E,MR1,1999,May,1,78,40,0
E,MR1,1999,Aug,2,11,0,0
E,MR1,1999,Nov,3,0,0,0
E,MR1,2000,Feb,4,5,0,0
E,MR1,2000,May,5,241,31,0
E,MR1,2000,Aug,6,81,10,0
E,MR1,2000,Nov,7,10,1,0
E,MR1,2001,Feb,8,2,0,0
E,MR1,2001,May,9,0,0,0
E,MR1,2001,Aug,10,0,0,0
E,MR1,2001,Nov,11,0,1,0
E,MR1,2002,May,12,0,1,0
E,MR1,2002,Nov,13,0,0,0
E,MR1,2003,Feb,14,0,0,0
E,MR1,2003,May,15,0,4,0
E,MR1,2003,Aug,16,0,1,0
E,MR1,2003,Nov,17,0,0,0
E,MR1,2004,Feb,18,0,0,0
E,MR1,2004,May,19,0,0,0
E,MR1,2004,Aug,20,0,0,0
H,MR1,1999,Feb,0,,,
H,MR1,1999,May,1,0,16,0
H,MR1,1999,Aug,2,0,5,0
H,MR1,1999,Nov,3,0,0,0
H,MR1,2000,Feb,4,0,12,0
H,MR1,2000,May,5,0,74,0
H,MR1,2000,Aug,6,0,11,0
H,MR1,2000,Nov,7,0,8,0
H,MR1,2001,Feb,8,0,0,0
H,MR1,2001,May,9,0,0,0
H,MR1,2001,Aug,10,0,0,0
H,MR1,2001,Nov,11,0,0,0
H,MR1,2002,May,12,0,4,0
H,MR1,2002,Nov,13,0,0,0
H,MR1,2003,Feb,14,0,21,0
H,MR1,2003,May,15,0,325,9
H,MR1,2003,Aug,16,0,111,0
H,MR1,2003,Nov,17,0,6,0
H,MR1,2004,Feb,18,0,0,0
H,MR1,2004,May,19,0,0,2
H,MR1,2004,Aug,20,0,0,0
E,MR2,1999,Feb,0,12,7,0
E,MR2,1999,May,1,270,100,0
E,MR2,1999,Aug,2,104,8,0
E,MR2,1999,Nov,3,3,0,0
E,MR2,2000,Feb,4,1,0,0
E,MR2,2000,May,5,59,35,0
E,MR2,2000,Aug,6,19,18,0
E,MR2,2000,Nov,7,11,4,0
E,MR2,2001,Feb,8,0,1,0
E,MR2,2001,May,9,0,0,0
E,MR2,2001,Aug,10,0,0,0
E,MR2,2001,Nov,11,0,0,0
E,MR2,2002,May,12,0,0,0
E,MR2,2002,Nov,13,0,0,0
E,MR2,2003,Feb,14,0,0,0
E,MR2,2003,May,15,118,26,0
E,MR2,2003,Aug,16,118,2,0
E,MR2,2003,Nov,17,9,0,0
E,MR2,2004,Feb,18,0,0,0
E,MR2,2004,May,19,0,0,0
E,MR2,2004,Aug,20,0,0,8
H,MR2,1999,Feb,0,,,
H,MR2,1999,May,1,0,2,0
H,MR2,1999,Aug,2,0,0,0
H,MR2,1999,Nov,3,0,0,0
H,MR2,2000,Feb,4,0,18,0
H,MR2,2000,May,5,0,245,0
H,MR2,2000,Aug,6,0,42,0
H,MR2,2000,Nov,7,0,5,0
H,MR2,2001,Feb,8,0,0,0
H,MR2,2001,May,9,0,0,0
H,MR2,2001,Aug,10,0,1,0
H,MR2,2001,Nov,11,0,4,0
H,MR2,2002,May,12,0,21,0
H,MR2,2002,Nov,13,0,0,0
H,MR2,2003,Feb,14,0,0,0
H,MR2,2003,May,15,0,143,0
H,MR2,2003,Aug,16,0,24,0
H,MR2,2003,Nov,17,0,2,0
H,MR2,2004,Feb,18,0,0,0
H,MR2,2004,May,19,0,0,0
H,MR2,2004,Aug,20,0,0,0
E,R1,1999,Feb,0,0,6,0
E,R1,1999,May,1,101,30,0
E,R1,1999,Aug,2,44,2,0
E,R1,1999,Nov,3,7,0,0
E,R1,2000,Feb,4,5,0,0
E,R1,2000,May,5,654,69,2
E,R1,2000,Aug,6,173,14,0
E,R1,2000,Nov,7,28,6,0
E,R1,2001,Feb,8,0,0,0
E,R1,2001,May,9,0,0,0
E,R1,2001,Aug,10,0,0,0
E,R1,2001,Nov,11,0,0,0
E,R1,2002,May,12,1,0,0
E,R1,2002,Nov,13,0,0,0
E,R1,2003,Feb,14,0,2,0
E,R1,2003,May,15,4,38,0
E,R1,2003,Aug,16,0,7,0
E,R1,2003,Nov,17,0,6,0
E,R1,2004,Feb,18,0,0,0
E,R1,2004,May,19,0,0,0
E,R1,2004,Aug,20,,,
H,R1,1999,Feb,0,,,
H,R1,1999,May,1,1,1,0
H,R1,1999,Aug,2,0,1,0
H,R1,1999,Nov,3,0,0,0
H,R1,2000,Feb,4,0,10,0
H,R1,2000,May,5,0,221,0
H,R1,2000,Aug,6,0,78,0
H,R1,2000,Nov,7,0,6,0
H,R1,2001,Feb,8,0,0,0
H,R1,2001,May,9,0,0,0
H,R1,2001,Aug,10,0,1,0
H,R1,2001,Nov,11,0,0,0
H,R1,2002,May,12,0,0,0
H,R1,2002,Nov,13,0,0,0
E,R2,1999,Feb,0,4,8,0
E,R2,1999,May,1,155,239,0
E,R2,1999,Aug,2,34,86,0
E,R2,1999,Nov,3,4,8,0
E,R2,2000,Feb,4,0,1,0
E,R2,2000,May,5,63,125,0
E,R2,2000,Aug,6,12,59,0
E,R2,2000,Nov,7,3,11,0
E,R2,2001,Feb,8,0,0,0
E,R2,2001,May,9,0,0,0
E,R2,2001,Aug,10,0,0,0
E,R2,2001,Nov,11,0,0,0
E,R2,2002,May,12,1,1,0
E,R2,2003,May,15,56,118,0
H,R2,1999,Feb,0,0,0,0
H,R2,1999,May,1,0,3,0
H,R2,1999,Aug,2,0,0,0
H,R2,1999,Nov,3,0,0,0
H,R2,2000,Feb,4,0,22,0
H,R2,2000,May,5,0,314,0
H,R2,2000,Aug,6,0,78,0
H,R2,2000,Nov,7,0,55,0
H,R2,2001,Feb,8,0,0,0
H,R2,2001,May,9,0,0,0
H,R2,2001,Aug,10,0,7,0
H,R2,2001,Nov,11,0,0,0
H,R2,2002,May,12,0,0,0
H,R2,2002,Nov,13,0,0,0
H,R2,2003,Feb,14,0,0,0
H,R2,2003,May,15,0,184,1
H,R2,2003,Aug,16,0,54,0
H,R2,2003,Nov,17,0,2,0
H,R2,2004,Feb,18,0,0,0
H,R2,2004,May,19,0,0,0
H,R2,2004,Aug,20,0,0,0
